Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
ts-assaydev-ampliseq6reaction-coca-541-v1,6.7.17,amd64,6.7.17.1_AssayDev,76260,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseq6reaction-coca3b-gx7-v1,6.7.15,amd64,6.7.15_AssayDev,76604,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-ampliseq6reaction-coca3b-gx7-v1,6.7.15.1,amd64,6.7.15.1_AssayDev,76640,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseq6reaction-coca3b-gx7-v1,6.7.15.1,amd64,6.7.15.2_AssayDev,76640,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseq6reaction-coca3b-gx7-v1,6.7.16,amd64,6.7.16_AssayDev,76648,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-ampliseq6reaction-coca3b-gx7-v1,6.7.17,amd64,6.7.17_AssayDev,76632,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-ampliseq6reaction-coca3b-gx7-v1,6.7.17,amd64,6.7.17.1_AssayDev,76632,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseqhd-coca-541-v2,6.2.0,amd64,6.7.15_AssayDev,69828,6.2.0,TRUE,6.7.15,TRUE
ts-assaydev-ampliseqhd-coca-541-v2,6.2.0,amd64,6.7.15.1_AssayDev,69828,6.2.0,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseqhd-coca-541-v2,6.2.0,amd64,6.7.15.2_AssayDev,69828,6.2.0,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseqhd-coca-541-v2,6.2.0,amd64,6.7.16_AssayDev,69828,6.2.0,TRUE,6.7.16,TRUE
ts-assaydev-ampliseqhd-coca-541-v2,6.2.0,amd64,6.7.17_AssayDev,69828,6.2.0,TRUE,6.7.17,TRUE
ts-assaydev-ampliseqhd-coca-541-v2,6.2.0,amd64,6.7.17.1_AssayDev,69828,6.2.0,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseqhd-coca-541-v3,6.3.26,amd64,6.7.15_AssayDev,71376,6.3.26,TRUE,6.7.15,TRUE
ts-assaydev-ampliseqhd-coca-541-v3,6.3.26,amd64,6.7.15.1_AssayDev,71376,6.3.26,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseqhd-coca-541-v3,6.3.26,amd64,6.7.15.2_AssayDev,71376,6.3.26,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseqhd-coca-541-v3,6.3.26,amd64,6.7.16_AssayDev,71376,6.3.26,TRUE,6.7.16,TRUE
ts-assaydev-ampliseqhd-coca-541-v3,6.3.26,amd64,6.7.17_AssayDev,71376,6.3.26,TRUE,6.7.17,TRUE
ts-assaydev-ampliseqhd-coca-541-v3,6.3.26,amd64,6.7.17.1_AssayDev,71376,6.3.26,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseqhd-coca-541-v4,6.6.0,amd64,6.7.15_AssayDev,71948,6.6.0,TRUE,6.7.15,TRUE
ts-assaydev-ampliseqhd-coca-541-v4,6.6.0,amd64,6.7.15.1_AssayDev,71948,6.6.0,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseqhd-coca-541-v4,6.6.0,amd64,6.7.15.2_AssayDev,71948,6.6.0,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseqhd-coca-541-v4,6.6.0,amd64,6.7.16_AssayDev,71948,6.6.0,TRUE,6.7.16,TRUE
ts-assaydev-ampliseqhd-coca-541-v4,6.6.0,amd64,6.7.17_AssayDev,71948,6.6.0,TRUE,6.7.17,TRUE
ts-assaydev-ampliseqhd-coca-541-v4,6.6.0,amd64,6.7.17.1_AssayDev,71948,6.6.0,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseqhd-coca3b-gx7-v1,6.7.15,amd64,6.7.15_AssayDev,70524,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-ampliseqhd-coca3b-gx7-v1,6.7.15.1,amd64,6.7.15.1_AssayDev,70480,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseqhd-coca3b-gx7-v1,6.7.15.1,amd64,6.7.15.2_AssayDev,70480,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseqhd-coca3b-gx7-v1,6.7.16,amd64,6.7.16_AssayDev,70488,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-ampliseqhd-coca3b-gx7-v1,6.7.17,amd64,6.7.17_AssayDev,70484,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-ampliseqhd-coca3b-gx7-v1,6.7.17,amd64,6.7.17.1_AssayDev,70484,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-analysis68,6.7.15,amd64,6.7.15_AssayDev,420177540,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-analysis68,6.7.15.1,amd64,6.7.15.1_AssayDev,420152596,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-analysis68,6.7.15.1,amd64,6.7.15.2_AssayDev,420152596,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-analysis68,6.7.16,amd64,6.7.16_AssayDev,420170076,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-analysis68,6.7.17,amd64,6.7.17_AssayDev,420396676,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-analysis68,6.7.17,amd64,6.7.17.1_AssayDev,420396676,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-annotdelta516,6.7.15,amd64,6.7.15_AssayDev,1972,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-annotdelta516,6.7.15.1,amd64,6.7.15.1_AssayDev,1976,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-annotdelta516,6.7.15.1,amd64,6.7.15.2_AssayDev,1976,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-annotdelta516,6.7.16,amd64,6.7.16_AssayDev,1972,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-annotdelta516,6.7.17,amd64,6.7.17_AssayDev,1972,6.7.16,FALSE,6.7.17,FALSE
ts-assaydev-annotdelta516,6.7.17,amd64,6.7.17.1_AssayDev,1972,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-assets,6.7.15,amd64,6.7.15_AssayDev,23982788,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-assets,6.7.15.1,amd64,6.7.15.1_AssayDev,23989616,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-assets,6.7.15.1,amd64,6.7.15.2_AssayDev,23989616,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-assets,6.7.16,amd64,6.7.16_AssayDev,23983344,6.7.16,TRUE,6.7.16,TRUE
